Microsoft (R) COFF/PE Dumper Version 14.33.31630.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file libraylib.dll
       1178  499 001A18F8 glad_glGetError
       1179  49A 001A1900 glad_glGetFixedvOES
       1180  49B 001A1908 glad_glGetFloati_v
       1181  49C 001A1910 glad_glGetFloatv
       1182  49D 001A1918 glad_glGetFragDataIndex
       1183  49E 001A1920 glad_glGetFragDataLocation
       1184  49F 001A1928 glad_glGetFramebufferAttachmentParameteriv
       1185  4A0 001A1930 glad_glGetFramebufferAttachmentParameterivEXT
       1186  4A1 001A1938 glad_glGetFramebufferParameteriv
       1187  4A2 001A1940 glad_glGetHandleARB
       1188  4A3 001A1948 glad_glGetHistogramParameterxvOES
       1189  4A4 001A1950 glad_glGetInfoLogARB
       1190  4A5 001A1958 glad_glGetInteger64i_v
       1191  4A6 001A1960 glad_glGetInteger64v
       1192  4A7 001A1968 glad_glGetIntegeri_v
       1193  4A8 001A1970 glad_glGetIntegerv
       1194  4A9 001A1978 glad_glGetInternalformati64v
       1195  4AA 001A1980 glad_glGetInternalformativ
       1196  4AB 001A1988 glad_glGetLightxOES
       1197  4AC 001A1990 glad_glGetMapxvOES
       1198  4AD 001A1998 glad_glGetMaterialxOES
       1199  4AE 001A19A0 glad_glGetMultisamplefv
       1200  4AF 001A19A8 glad_glGetNamedBufferParameteri64v
       1201  4B0 001A19B0 glad_glGetNamedBufferParameteriv
       1202  4B1 001A19B8 glad_glGetNamedBufferPointerv
       1203  4B2 001A19C0 glad_glGetNamedBufferSubData
       1204  4B3 001A19C8 glad_glGetNamedFramebufferAttachmentParameteriv
       1205  4B4 001A19D0 glad_glGetNamedFramebufferParameteriv
       1206  4B5 001A19D8 glad_glGetNamedRenderbufferParameteriv
       1207  4B6 001A19E0 glad_glGetNamedStringARB
       1208  4B7 001A19E8 glad_glGetNamedStringivARB
       1209  4B8 001A19F0 glad_glGetObjectLabel
       1210  4B9 001A19F8 glad_glGetObjectParameterfvARB
       1211  4BA 001A1A00 glad_glGetObjectParameterivARB
       1212  4BB 001A1A08 glad_glGetObjectPtrLabel
       1213  4BC 001A1A10 glad_glGetPixelMapxv
       1214  4BD 001A1A18 glad_glGetPointerv
       1215  4BE 001A1A20 glad_glGetProgramBinary
       1216  4BF 001A1A28 glad_glGetProgramEnvParameterdvARB
       1217  4C0 001A1A30 glad_glGetProgramEnvParameterfvARB
       1218  4C1 001A1A38 glad_glGetProgramInfoLog
       1219  4C2 001A1A40 glad_glGetProgramInterfaceiv
       1220  4C3 001A1A48 glad_glGetProgramLocalParameterdvARB
       1221  4C4 001A1A50 glad_glGetProgramLocalParameterfvARB
       1222  4C5 001A1A58 glad_glGetProgramPipelineInfoLog
       1223  4C6 001A1A60 glad_glGetProgramPipelineiv
       1224  4C7 001A1A68 glad_glGetProgramResourceIndex
       1225  4C8 001A1A70 glad_glGetProgramResourceLocation
       1226  4C9 001A1A78 glad_glGetProgramResourceLocationIndex
       1227  4CA 001A1A80 glad_glGetProgramResourceName
       1228  4CB 001A1A88 glad_glGetProgramResourceiv
       1229  4CC 001A1A90 glad_glGetProgramStageiv
       1230  4CD 001A1A98 glad_glGetProgramStringARB
       1231  4CE 001A1AA0 glad_glGetProgramiv
       1232  4CF 001A1AA8 glad_glGetProgramivARB
       1233  4D0 001A1AB0 glad_glGetQueryBufferObjecti64v
       1234  4D1 001A1AB8 glad_glGetQueryBufferObjectiv
       1235  4D2 001A1AC0 glad_glGetQueryBufferObjectui64v
       1236  4D3 001A1AC8 glad_glGetQueryBufferObjectuiv
       1237  4D4 001A1AD0 glad_glGetQueryIndexediv
       1238  4D5 001A1AD8 glad_glGetQueryObjecti64v
       1239  4D6 001A1AE0 glad_glGetQueryObjectiv
       1240  4D7 001A1AE8 glad_glGetQueryObjectivARB
       1241  4D8 001A1AF0 glad_glGetQueryObjectui64v
       1242  4D9 001A1AF8 glad_glGetQueryObjectuiv
       1243  4DA 001A1B00 glad_glGetQueryObjectuivARB
       1244  4DB 001A1B08 glad_glGetQueryiv
       1245  4DC 001A1B10 glad_glGetQueryivARB
       1246  4DD 001A1B18 glad_glGetRenderbufferParameteriv
       1247  4DE 001A1B20 glad_glGetRenderbufferParameterivEXT
       1248  4DF 001A1B28 glad_glGetSamplerParameterIiv
       1249  4E0 001A1B30 glad_glGetSamplerParameterIuiv
       1250  4E1 001A1B38 glad_glGetSamplerParameterfv
       1251  4E2 001A1B40 glad_glGetSamplerParameteriv
       1252  4E3 001A1B48 glad_glGetShaderInfoLog
       1253  4E4 001A1B50 glad_glGetShaderPrecisionFormat
       1254  4E5 001A1B58 glad_glGetShaderSource
       1255  4E6 001A1B60 glad_glGetShaderSourceARB
       1256  4E7 001A1B68 glad_glGetShaderiv
       1257  4E8 001A1B70 glad_glGetString
       1258  4E9 001A1B78 glad_glGetStringi
       1259  4EA 001A1B80 glad_glGetSubroutineIndex
       1260  4EB 001A1B88 glad_glGetSubroutineUniformLocation
       1261  4EC 001A1B90 glad_glGetSynciv
       1262  4ED 001A1B98 glad_glGetTexEnvxvOES
       1263  4EE 001A1BA0 glad_glGetTexGenxvOES
       1264  4EF 001A1BA8 glad_glGetTexImage
       1265  4F0 001A1BB0 glad_glGetTexLevelParameterfv
       1266  4F1 001A1BB8 glad_glGetTexLevelParameteriv
       1267  4F2 001A1BC0 glad_glGetTexLevelParameterxvOES
       1268  4F3 001A1BC8 glad_glGetTexParameterIiv
       1269  4F4 001A1BD0 glad_glGetTexParameterIuiv
       1270  4F5 001A1BD8 glad_glGetTexParameterfv
       1271  4F6 001A1BE0 glad_glGetTexParameteriv
       1272  4F7 001A1BE8 glad_glGetTexParameterxvOES
       1273  4F8 001A1BF0 glad_glGetTextureImage
       1274  4F9 001A1BF8 glad_glGetTextureLevelParameterfv
       1275  4FA 001A1C00 glad_glGetTextureLevelParameteriv
       1276  4FB 001A1C08 glad_glGetTextureParameterIiv
       1277  4FC 001A1C10 glad_glGetTextureParameterIuiv
       1278  4FD 001A1C18 glad_glGetTextureParameterfv
       1279  4FE 001A1C20 glad_glGetTextureParameteriv
       1280  4FF 001A1C28 glad_glGetTextureSubImage
       1281  500 001A1C30 glad_glGetTransformFeedbackVarying
       1282  501 001A1C38 glad_glGetTransformFeedbacki64_v
       1283  502 001A1C40 glad_glGetTransformFeedbacki_v
       1284  503 001A1C48 glad_glGetTransformFeedbackiv
       1285  504 001A1C50 glad_glGetUniformBlockIndex
       1286  505 001A1C58 glad_glGetUniformIndices
       1287  506 001A1C60 glad_glGetUniformLocation
       1288  507 001A1C68 glad_glGetUniformLocationARB
       1289  508 001A1C70 glad_glGetUniformSubroutineuiv
       1290  509 001A1C78 glad_glGetUniformdv
       1291  50A 001A1C80 glad_glGetUniformfv
       1292  50B 001A1C88 glad_glGetUniformfvARB
       1293  50C 001A1C90 glad_glGetUniformi64vARB
       1294  50D 001A1C98 glad_glGetUniformiv
       1295  50E 001A1CA0 glad_glGetUniformivARB
       1296  50F 001A1CA8 glad_glGetUniformui64vARB
       1297  510 001A1CB0 glad_glGetUniformuiv
       1298  511 001A1CB8 glad_glGetVertexArrayIndexed64iv
       1299  512 001A1CC0 glad_glGetVertexArrayIndexediv
       1300  513 001A1CC8 glad_glGetVertexArrayiv
       1301  514 001A1CD0 glad_glGetVertexAttribIiv
       1302  515 001A1CD8 glad_glGetVertexAttribIuiv
       1303  516 001A1CE0 glad_glGetVertexAttribLdv
       1304  517 001A1CE8 glad_glGetVertexAttribPointerv
       1305  518 001A1CF0 glad_glGetVertexAttribPointervARB
       1306  519 001A1CF8 glad_glGetVertexAttribdv
       1307  51A 001A1D00 glad_glGetVertexAttribdvARB
       1308  51B 001A1D08 glad_glGetVertexAttribfv
       1309  51C 001A1D10 glad_glGetVertexAttribfvARB
       1310  51D 001A1D18 glad_glGetVertexAttribiv
       1311  51E 001A1D20 glad_glGetVertexAttribivARB
       1312  51F 001A1D28 glad_glGetnUniformi64vARB
       1313  520 001A1D30 glad_glGetnUniformui64vARB
       1314  521 001A1D38 glad_glHint
       1315  522 001A1D40 glad_glIndexxOES
       1316  523 001A1D48 glad_glIndexxvOES
       1317  524 001A1D50 glad_glInvalidateBufferData
       1318  525 001A1D58 glad_glInvalidateBufferSubData
       1319  526 001A1D60 glad_glInvalidateFramebuffer
       1320  527 001A1D68 glad_glInvalidateNamedFramebufferData
       1321  528 001A1D70 glad_glInvalidateNamedFramebufferSubData
       1322  529 001A1D78 glad_glInvalidateSubFramebuffer
       1323  52A 001A1D80 glad_glInvalidateTexImage
       1324  52B 001A1D88 glad_glInvalidateTexSubImage
       1325  52C 001A1D90 glad_glIsBuffer
       1326  52D 001A1D98 glad_glIsBufferARB
       1327  52E 001A1DA0 glad_glIsEnabled
       1328  52F 001A1DA8 glad_glIsEnabledi
       1329  530 001A1DB0 glad_glIsFramebuffer
       1330  531 001A1DB8 glad_glIsFramebufferEXT
       1331  532 001A1DC0 glad_glIsNamedStringARB
       1332  533 001A1DC8 glad_glIsProgram
       1333  534 001A1DD0 glad_glIsProgramARB
       1334  535 001A1DD8 glad_glIsProgramPipeline
       1335  536 001A1DE0 glad_glIsQuery
       1336  537 001A1DE8 glad_glIsQueryARB
       1337  538 001A1DF0 glad_glIsRenderbuffer
       1338  539 001A1DF8 glad_glIsRenderbufferEXT
       1339  53A 001A1E00 glad_glIsSampler
       1340  53B 001A1E08 glad_glIsShader
       1341  53C 001A1E10 glad_glIsSync
       1342  53D 001A1E18 glad_glIsTexture
       1343  53E 001A1E20 glad_glIsTransformFeedback
       1344  53F 001A1E28 glad_glIsVertexArray
       1345  540 001A1E30 glad_glLightModelxOES
       1346  541 001A1E38 glad_glLightModelxvOES
       1347  542 001A1E40 glad_glLightxOES
       1348  543 001A1E48 glad_glLightxvOES
       1349  544 001A1E50 glad_glLineWidth
       1350  545 001A1E58 glad_glLineWidthxOES
       1351  546 001A1E60 glad_glLinkProgram
       1352  547 001A1E68 glad_glLinkProgramARB
       1353  548 001A1E70 glad_glLoadMatrixxOES
       1354  549 001A1E78 glad_glLoadTransposeMatrixdARB
       1355  54A 001A1E80 glad_glLoadTransposeMatrixfARB
       1356  54B 001A1E88 glad_glLoadTransposeMatrixxOES
       1357  54C 001A1E90 glad_glLogicOp
       1358  54D 001A1E98 glad_glMap1xOES
       1359  54E 001A1EA0 glad_glMap2xOES
       1360  54F 001A1EA8 glad_glMapBuffer
       1361  550 001A1EB0 glad_glMapBufferARB
       1362  551 001A1EB8 glad_glMapBufferRange
       1363  552 001A1EC0 glad_glMapGrid1xOES
       1364  553 001A1EC8 glad_glMapGrid2xOES
       1365  554 001A1ED0 glad_glMapNamedBuffer
       1366  555 001A1ED8 glad_glMapNamedBufferRange
       1367  556 001A1EE0 glad_glMaterialxOES
       1368  557 001A1EE8 glad_glMaterialxvOES
       1369  558 001A1EF0 glad_glMemoryBarrier
       1370  559 001A1EF8 glad_glMemoryBarrierByRegion
       1371  55A 001A1F00 glad_glMinSampleShading
       1372  55B 001A1F08 glad_glMinSampleShadingARB
       1373  55C 001A1F10 glad_glMultMatrixxOES
       1374  55D 001A1F18 glad_glMultTransposeMatrixdARB
       1375  55E 001A1F20 glad_glMultTransposeMatrixfARB
       1376  55F 001A1F28 glad_glMultTransposeMatrixxOES
       1377  560 001A1F30 glad_glMultiDrawArrays
       1378  561 001A1F38 glad_glMultiDrawArraysIndirect
       1379  562 001A1F40 glad_glMultiDrawElements
       1380  563 001A1F48 glad_glMultiDrawElementsBaseVertex
       1381  564 001A1F50 glad_glMultiDrawElementsIndirect
       1382  565 001A1F58 glad_glMultiTexCoord1dARB
       1383  566 001A1F60 glad_glMultiTexCoord1dvARB
       1384  567 001A1F68 glad_glMultiTexCoord1fARB
       1385  568 001A1F70 glad_glMultiTexCoord1fvARB
       1386  569 001A1F78 glad_glMultiTexCoord1iARB
       1387  56A 001A1F80 glad_glMultiTexCoord1ivARB
       1388  56B 001A1F88 glad_glMultiTexCoord1sARB
       1389  56C 001A1F90 glad_glMultiTexCoord1svARB
       1390  56D 001A1F98 glad_glMultiTexCoord1xOES
       1391  56E 001A1FA0 glad_glMultiTexCoord1xvOES
       1392  56F 001A1FA8 glad_glMultiTexCoord2dARB
       1393  570 001A1FB0 glad_glMultiTexCoord2dvARB
       1394  571 001A1FB8 glad_glMultiTexCoord2fARB
       1395  572 001A1FC0 glad_glMultiTexCoord2fvARB
       1396  573 001A1FC8 glad_glMultiTexCoord2iARB
       1397  574 001A1FD0 glad_glMultiTexCoord2ivARB
       1398  575 001A1FD8 glad_glMultiTexCoord2sARB
       1399  576 001A1FE0 glad_glMultiTexCoord2svARB
       1400  577 001A1FE8 glad_glMultiTexCoord2xOES
       1401  578 001A1FF0 glad_glMultiTexCoord2xvOES
       1402  579 001A1FF8 glad_glMultiTexCoord3dARB
       1403  57A 001A2000 glad_glMultiTexCoord3dvARB
       1404  57B 001A2008 glad_glMultiTexCoord3fARB
       1405  57C 001A2010 glad_glMultiTexCoord3fvARB
       1406  57D 001A2018 glad_glMultiTexCoord3iARB
       1407  57E 001A2020 glad_glMultiTexCoord3ivARB
       1408  57F 001A2028 glad_glMultiTexCoord3sARB
       1409  580 001A2030 glad_glMultiTexCoord3svARB
       1410  581 001A2038 glad_glMultiTexCoord3xOES
       1411  582 001A2040 glad_glMultiTexCoord3xvOES
       1412  583 001A2048 glad_glMultiTexCoord4dARB
       1413  584 001A2050 glad_glMultiTexCoord4dvARB
       1414  585 001A2058 glad_glMultiTexCoord4fARB
       1415  586 001A2060 glad_glMultiTexCoord4fvARB
       1416  587 001A2068 glad_glMultiTexCoord4iARB
       1417  588 001A2070 glad_glMultiTexCoord4ivARB
       1418  589 001A2078 glad_glMultiTexCoord4sARB
       1419  58A 001A2080 glad_glMultiTexCoord4svARB
       1420  58B 001A2088 glad_glMultiTexCoord4xOES
       1421  58C 001A2090 glad_glMultiTexCoord4xvOES
       1422  58D 001A2098 glad_glNamedBufferData
       1423  58E 001A20A0 glad_glNamedBufferStorage
       1424  58F 001A20A8 glad_glNamedBufferSubData
       1425  590 001A20B0 glad_glNamedFramebufferDrawBuffer
       1426  591 001A20B8 glad_glNamedFramebufferDrawBuffers
       1427  592 001A20C0 glad_glNamedFramebufferParameteri
       1428  593 001A20C8 glad_glNamedFramebufferReadBuffer
       1429  594 001A20D0 glad_glNamedFramebufferRenderbuffer
       1430  595 001A20D8 glad_glNamedFramebufferSampleLocationsfvARB
       1431  596 001A20E0 glad_glNamedFramebufferTexture
       1432  597 001A20E8 glad_glNamedFramebufferTextureLayer
       1433  598 001A20F0 glad_glNamedRenderbufferStorage
       1434  599 001A20F8 glad_glNamedRenderbufferStorageMultisample
       1435  59A 001A2100 glad_glNamedStringARB
       1436  59B 001A2108 glad_glNormal3xOES
       1437  59C 001A2110 glad_glNormal3xvOES
       1438  59D 001A2118 glad_glObjectLabel
       1439  59E 001A2120 glad_glObjectPtrLabel
       1440  59F 001A2128 glad_glOrthoxOES
       1441  5A0 001A2130 glad_glPassThroughxOES
       1442  5A1 001A2138 glad_glPatchParameterfv
       1443  5A2 001A2140 glad_glPatchParameteri
       1444  5A3 001A2148 glad_glPauseTransformFeedback
       1445  5A4 001A2150 glad_glPixelMapx
       1446  5A5 001A2158 glad_glPixelStoref
       1447  5A6 001A2160 glad_glPixelStorei
       1448  5A7 001A2168 glad_glPixelStorex
       1449  5A8 001A2170 glad_glPixelTransferxOES
       1450  5A9 001A2178 glad_glPixelZoomxOES
       1451  5AA 001A2180 glad_glPointParameterf
       1452  5AB 001A2188 glad_glPointParameterfv
       1453  5AC 001A2190 glad_glPointParameteri
       1454  5AD 001A2198 glad_glPointParameteriv
       1455  5AE 001A21A0 glad_glPointParameterxvOES
       1456  5AF 001A21A8 glad_glPointSize
       1457  5B0 001A21B0 glad_glPointSizexOES
       1458  5B1 001A21B8 glad_glPolygonMode
       1459  5B2 001A21C0 glad_glPolygonOffset
       1460  5B3 001A21C8 glad_glPolygonOffsetxOES
       1461  5B4 001A21D0 glad_glPopDebugGroup
       1462  5B5 001A21D8 glad_glPrimitiveBoundingBoxARB
       1463  5B6 001A21E0 glad_glPrimitiveRestartIndex
       1464  5B7 001A21E8 glad_glPrioritizeTexturesxOES
       1465  5B8 001A21F0 glad_glProgramBinary
       1466  5B9 001A21F8 glad_glProgramEnvParameter4dARB
       1467  5BA 001A2200 glad_glProgramEnvParameter4dvARB
       1468  5BB 001A2208 glad_glProgramEnvParameter4fARB
       1469  5BC 001A2210 glad_glProgramEnvParameter4fvARB
       1470  5BD 001A2218 glad_glProgramLocalParameter4dARB
       1471  5BE 001A2220 glad_glProgramLocalParameter4dvARB
       1472  5BF 001A2228 glad_glProgramLocalParameter4fARB
       1473  5C0 001A2230 glad_glProgramLocalParameter4fvARB
       1474  5C1 001A2238 glad_glProgramParameteri
       1475  5C2 001A2240 glad_glProgramParameteriARB
       1476  5C3 001A2248 glad_glProgramStringARB
       1477  5C4 001A2250 glad_glProgramUniform1d
       1478  5C5 001A2258 glad_glProgramUniform1dv
       1479  5C6 001A2260 glad_glProgramUniform1f
       1480  5C7 001A2268 glad_glProgramUniform1fv
       1481  5C8 001A2270 glad_glProgramUniform1i
       1482  5C9 001A2278 glad_glProgramUniform1i64ARB
       1483  5CA 001A2280 glad_glProgramUniform1i64vARB
       1484  5CB 001A2288 glad_glProgramUniform1iv
       1485  5CC 001A2290 glad_glProgramUniform1ui
       1486  5CD 001A2298 glad_glProgramUniform1ui64ARB
       1487  5CE 001A22A0 glad_glProgramUniform1ui64vARB
       1488  5CF 001A22A8 glad_glProgramUniform1uiv
       1489  5D0 001A22B0 glad_glProgramUniform2d
       1490  5D1 001A22B8 glad_glProgramUniform2dv
       1491  5D2 001A22C0 glad_glProgramUniform2f
       1492  5D3 001A22C8 glad_glProgramUniform2fv
       1493  5D4 001A22D0 glad_glProgramUniform2i
       1494  5D5 001A22D8 glad_glProgramUniform2i64ARB
       1495  5D6 001A22E0 glad_glProgramUniform2i64vARB
       1496  5D7 001A22E8 glad_glProgramUniform2iv
       1497  5D8 001A22F0 glad_glProgramUniform2ui
       1498  5D9 001A22F8 glad_glProgramUniform2ui64ARB
       1499  5DA 001A2300 glad_glProgramUniform2ui64vARB
       1500  5DB 001A2308 glad_glProgramUniform2uiv
       1501  5DC 001A2310 glad_glProgramUniform3d
       1502  5DD 001A2318 glad_glProgramUniform3dv
       1503  5DE 001A2320 glad_glProgramUniform3f
       1504  5DF 001A2328 glad_glProgramUniform3fv
       1505  5E0 001A2330 glad_glProgramUniform3i
       1506  5E1 001A2338 glad_glProgramUniform3i64ARB
       1507  5E2 001A2340 glad_glProgramUniform3i64vARB
       1508  5E3 001A2348 glad_glProgramUniform3iv
       1509  5E4 001A2350 glad_glProgramUniform3ui
       1510  5E5 001A2358 glad_glProgramUniform3ui64ARB
       1511  5E6 001A2360 glad_glProgramUniform3ui64vARB
       1512  5E7 001A2368 glad_glProgramUniform3uiv
       1513  5E8 001A2370 glad_glProgramUniform4d
       1514  5E9 001A2378 glad_glProgramUniform4dv
       1515  5EA 001A2380 glad_glProgramUniform4f
       1516  5EB 001A2388 glad_glProgramUniform4fv
       1517  5EC 001A2390 glad_glProgramUniform4i
       1518  5ED 001A2398 glad_glProgramUniform4i64ARB
       1519  5EE 001A23A0 glad_glProgramUniform4i64vARB
       1520  5EF 001A23A8 glad_glProgramUniform4iv
       1521  5F0 001A23B0 glad_glProgramUniform4ui
       1522  5F1 001A23B8 glad_glProgramUniform4ui64ARB
       1523  5F2 001A23C0 glad_glProgramUniform4ui64vARB
       1524  5F3 001A23C8 glad_glProgramUniform4uiv
       1525  5F4 001A23D0 glad_glProgramUniformMatrix2dv
       1526  5F5 001A23D8 glad_glProgramUniformMatrix2fv
       1527  5F6 001A23E0 glad_glProgramUniformMatrix2x3dv
       1528  5F7 001A23E8 glad_glProgramUniformMatrix2x3fv
       1529  5F8 001A23F0 glad_glProgramUniformMatrix2x4dv
       1530  5F9 001A23F8 glad_glProgramUniformMatrix2x4fv
       1531  5FA 001A2400 glad_glProgramUniformMatrix3dv
       1532  5FB 001A2408 glad_glProgramUniformMatrix3fv
       1533  5FC 001A2410 glad_glProgramUniformMatrix3x2dv
       1534  5FD 001A2418 glad_glProgramUniformMatrix3x2fv
       1535  5FE 001A2420 glad_glProgramUniformMatrix3x4dv
       1536  5FF 001A2428 glad_glProgramUniformMatrix3x4fv
       1537  600 001A2430 glad_glProgramUniformMatrix4dv
       1538  601 001A2438 glad_glProgramUniformMatrix4fv
       1539  602 001A2440 glad_glProgramUniformMatrix4x2dv
       1540  603 001A2448 glad_glProgramUniformMatrix4x2fv
       1541  604 001A2450 glad_glProgramUniformMatrix4x3dv
       1542  605 001A2458 glad_glProgramUniformMatrix4x3fv
       1543  606 001A2460 glad_glProvokingVertex
       1544  607 001A2468 glad_glPushDebugGroup
       1545  608 001A2470 glad_glQueryCounter
       1546  609 001A2478 glad_glRasterPos2xOES
       1547  60A 001A2480 glad_glRasterPos2xvOES
       1548  60B 001A2488 glad_glRasterPos3xOES
       1549  60C 001A2490 glad_glRasterPos3xvOES
       1550  60D 001A2498 glad_glRasterPos4xOES
       1551  60E 001A24A0 glad_glRasterPos4xvOES
       1552  60F 001A24A8 glad_glReadBuffer
       1553  610 001A24B0 glad_glReadPixels
       1554  611 001A24B8 glad_glRectxOES
       1555  612 001A24C0 glad_glRectxvOES
       1556  613 001A24C8 glad_glReleaseShaderCompiler
       1557  614 001A24D0 glad_glRenderbufferStorage
       1558  615 001A24D8 glad_glRenderbufferStorageEXT
       1559  616 001A24E0 glad_glRenderbufferStorageMultisample
       1560  617 001A24E8 glad_glRenderbufferStorageMultisampleEXT
       1561  618 001A24F0 glad_glResumeTransformFeedback
       1562  619 001A24F8 glad_glRotatexOES
       1563  61A 001A2500 glad_glSampleCoverage
       1564  61B 001A2508 glad_glSampleCoverageARB
       1565  61C 001A2510 glad_glSampleMaski
       1566  61D 001A2518 glad_glSamplerParameterIiv
       1567  61E 001A2520 glad_glSamplerParameterIuiv
       1568  61F 001A2528 glad_glSamplerParameterf
       1569  620 001A2530 glad_glSamplerParameterfv
       1570  621 001A2538 glad_glSamplerParameteri
       1571  622 001A2540 glad_glSamplerParameteriv
       1572  623 001A2548 glad_glScalexOES
       1573  624 001A2550 glad_glScissor
       1574  625 001A2558 glad_glScissorArrayv
       1575  626 001A2560 glad_glScissorIndexed
       1576  627 001A2568 glad_glScissorIndexedv
       1577  628 001A2570 glad_glShaderBinary
       1578  629 001A2578 glad_glShaderSource
       1579  62A 001A2580 glad_glShaderSourceARB
       1580  62B 001A2588 glad_glShaderStorageBlockBinding
       1581  62C 001A2590 glad_glSpecializeShaderARB
       1582  62D 001A2598 glad_glStencilFunc
       1583  62E 001A25A0 glad_glStencilFuncSeparate
       1584  62F 001A25A8 glad_glStencilMask
       1585  630 001A25B0 glad_glStencilMaskSeparate
       1586  631 001A25B8 glad_glStencilOp
       1587  632 001A25C0 glad_glStencilOpSeparate
       1588  633 001A25C8 glad_glTexBuffer
       1589  634 001A25D0 glad_glTexBufferRange
       1590  635 001A25D8 glad_glTexCoord1xOES
       1591  636 001A25E0 glad_glTexCoord1xvOES
       1592  637 001A25E8 glad_glTexCoord2xOES
       1593  638 001A25F0 glad_glTexCoord2xvOES
       1594  639 001A25F8 glad_glTexCoord3xOES
       1595  63A 001A2600 glad_glTexCoord3xvOES
       1596  63B 001A2608 glad_glTexCoord4xOES
       1597  63C 001A2610 glad_glTexCoord4xvOES
       1598  63D 001A2618 glad_glTexEnvxOES
       1599  63E 001A2620 glad_glTexEnvxvOES
       1600  63F 001A2628 glad_glTexGenxOES
       1601  640 001A2630 glad_glTexGenxvOES
       1602  641 001A2638 glad_glTexImage1D
       1603  642 001A2640 glad_glTexImage2D
       1604  643 001A2648 glad_glTexImage2DMultisample
       1605  644 001A2650 glad_glTexImage3D
       1606  645 001A2658 glad_glTexImage3DMultisample
       1607  646 001A2660 glad_glTexParameterIiv
       1608  647 001A2668 glad_glTexParameterIuiv
       1609  648 001A2670 glad_glTexParameterf
       1610  649 001A2678 glad_glTexParameterfv
       1611  64A 001A2680 glad_glTexParameteri
       1612  64B 001A2688 glad_glTexParameteriv
       1613  64C 001A2690 glad_glTexParameterxOES
       1614  64D 001A2698 glad_glTexParameterxvOES
       1615  64E 001A26A0 glad_glTexStorage1D
       1616  64F 001A26A8 glad_glTexStorage2D
       1617  650 001A26B0 glad_glTexStorage2DMultisample
       1618  651 001A26B8 glad_glTexStorage3D
       1619  652 001A26C0 glad_glTexStorage3DMultisample
       1620  653 001A26C8 glad_glTexSubImage1D
       1621  654 001A26D0 glad_glTexSubImage2D
       1622  655 001A26D8 glad_glTexSubImage3D
       1623  656 001A26E0 glad_glTextureBuffer
       1624  657 001A26E8 glad_glTextureBufferRange
       1625  658 001A26F0 glad_glTextureParameterIiv
       1626  659 001A26F8 glad_glTextureParameterIuiv
       1627  65A 001A2700 glad_glTextureParameterf
       1628  65B 001A2708 glad_glTextureParameterfv
       1629  65C 001A2710 glad_glTextureParameteri
       1630  65D 001A2718 glad_glTextureParameteriv
       1631  65E 001A2720 glad_glTextureStorage1D
       1632  65F 001A2728 glad_glTextureStorage2D
       1633  660 001A2730 glad_glTextureStorage2DMultisample
       1634  661 001A2738 glad_glTextureStorage3D
       1635  662 001A2740 glad_glTextureStorage3DMultisample
       1636  663 001A2748 glad_glTextureSubImage1D
       1637  664 001A2750 glad_glTextureSubImage2D
       1638  665 001A2758 glad_glTextureSubImage3D
       1639  666 001A2760 glad_glTextureView
       1640  667 001A2768 glad_glTransformFeedbackBufferBase
       1641  668 001A2770 glad_glTransformFeedbackBufferRange
       1642  669 001A2778 glad_glTransformFeedbackVaryings
       1643  66A 001A2780 glad_glTranslatexOES
       1644  66B 001A2788 glad_glUniform1d
       1645  66C 001A2790 glad_glUniform1dv
       1646  66D 001A2798 glad_glUniform1f
       1647  66E 001A27A0 glad_glUniform1fARB
       1648  66F 001A27A8 glad_glUniform1fv
       1649  670 001A27B0 glad_glUniform1fvARB
       1650  671 001A27B8 glad_glUniform1i
       1651  672 001A27C0 glad_glUniform1i64ARB
       1652  673 001A27C8 glad_glUniform1i64vARB
       1653  674 001A27D0 glad_glUniform1iARB
       1654  675 001A27D8 glad_glUniform1iv
       1655  676 001A27E0 glad_glUniform1ivARB
       1656  677 001A27E8 glad_glUniform1ui
       1657  678 001A27F0 glad_glUniform1ui64ARB
       1658  679 001A27F8 glad_glUniform1ui64vARB
       1659  67A 001A2800 glad_glUniform1uiv
       1660  67B 001A2808 glad_glUniform2d
       1661  67C 001A2810 glad_glUniform2dv
       1662  67D 001A2818 glad_glUniform2f
       1663  67E 001A2820 glad_glUniform2fARB
       1664  67F 001A2828 glad_glUniform2fv
       1665  680 001A2830 glad_glUniform2fvARB
       1666  681 001A2838 glad_glUniform2i
       1667  682 001A2840 glad_glUniform2i64ARB
       1668  683 001A2848 glad_glUniform2i64vARB
       1669  684 001A2850 glad_glUniform2iARB
       1670  685 001A2858 glad_glUniform2iv
       1671  686 001A2860 glad_glUniform2ivARB
       1672  687 001A2868 glad_glUniform2ui
       1673  688 001A2870 glad_glUniform2ui64ARB
       1674  689 001A2878 glad_glUniform2ui64vARB
       1675  68A 001A2880 glad_glUniform2uiv
       1676  68B 001A2888 glad_glUniform3d
       1677  68C 001A2890 glad_glUniform3dv
       1678  68D 001A2898 glad_glUniform3f
       1679  68E 001A28A0 glad_glUniform3fARB
       1680  68F 001A28A8 glad_glUniform3fv
       1681  690 001A28B0 glad_glUniform3fvARB
       1682  691 001A28B8 glad_glUniform3i
       1683  692 001A28C0 glad_glUniform3i64ARB
       1684  693 001A28C8 glad_glUniform3i64vARB
